Name,Address,late,long
8 Ahmed Saleh ,"Borham, As Sahel, Cairo Governorate, Egypt ",30.085174,31.242367
Ebeid ,"As Sahel, Cairo Governorate, Egypt",30.083615,31.234235
The Engineering Co. For Mechanical Turning - Farouk Gendy Sons ,"12 ش كرم، Menyat as Serg, As Sahel, Cairo Governorate, Egypt ‎ ",30.069855 ,31.245500‎ 
"
Mechanical Engineering ","2 Hanna Wasef St.، SHOUBRA، Cairo Governorate, Egypt ‎ ",30.072158,31.24947
Garage Equipments Center  ,"55 ش الجمهورية، وسط البلد، Cairo Governorate, Egypt ‎
",30.102366,31.242156
El Hassan Center For Service & Cars Maintenance  ,"1 ميدان قصر القبة، Hadaeq Al Qubbah, القاهرة، Egypt ‎
",30.123749,31.275115
Diaa El Din El Garhy,"8 mourad st.، Giza, Egypt ‎",30.104742,31.254516
Arabeya,"Ad Doqi A, Ad Doqi, Giza, Egypt ‎",30.127312,31.260009
El Alamya,"Al Moatamadeyah, Embabah, Giza, Egypt ‎",30.149877,31.239409
مركز معدات خدمة السيارات,"55 ش الجمهورية، وسط البلد، محافظة القاهرة‬ ‏
",30.060774,31.24649
مركز الحسن لخدمة وصيانة السيارات,1 ميدان قصر القبة، حدائق القبة، القاهرة ,30.085434,31.275158
مركز ايمن للتصوير الهندسى,مدينه نصر، المنطقة الأولى، CAIRO ‏,30.068351,31.335583
تكنوموتيف مركز خدمة وصيانة السيارات تويوتا,منيل شيحة، الجيزة ‏,29.962073,31.245461
قناة السويس لاصلاح وصيانة السيارات,"طريق اسكندرية القاهرة الصحراوى، أبو رواش، إمبابة، الجيزة ‏
",30.027934,31.105385
مركز امير وجوزيف لصيانة السيارات,"43 Abou Dawoud El Zahery St.، المنطقة الأولى، CAIRO ‏
",30.072659,",31.356354"
السبع اوتوسيرفس,"المنطقة الصناعية، المعادي، محافظة القاهرة‬ ‏
",30.005639,31.267605
مركز شريف لخدمة وصيانة السيارات,"المنطقة الصناعية الاولى، الجيزة ‏
",29.95077,30.903683
"مركز الصفا لتحليل العوادم وصيانة الكربراتير والانجكشن  
","52 Mokhtar Abaza St.، GESR EL SUEZ، محافظة القاهرة‬ ‏
",30.169469,31.405792
العالمية الهندسية السيارات,"المعتمدية، إمبابة، الجيزة ‏
",30.069094,31.20426
مركز خدمة فولكس فاجن,"المنيل الشرقي، مصر القديمة، الجيزة ‏
",30.049482,31.240654
تكنولوجيا السيارات,"الوايلي الكبير شرق، حدائق القبة، محافظة القاهرة‬ ‏
",30.118106,31.305542
Artoc Auto ( Skoda Service Center ),"Ring Road, Kattameya، محافظة القاهرة‬ ‏
",30.016193,31.380386
البرنس لقطع غيار السيارات,"32 ش زكى، محافظة القاهرة‬ ‏
",30.005193,31.277046
مركز الفاروق لصيانه وتوكيلات السيارات,"23 شارع مصر حلوان الزراعى - الزهراء - مصر القديمه, مصر 11770 ‏
",29.990623,31.279449
المتحدة الهندسية للسيارات - مركز خدمة تويوتا,"27 سكة الشيخ عبد الله، محافظة القاهرة‬ ‏
",30.07979,31.280823
"شركة ايسترن للتجارة، مركز خدمة و موزع معتمد اسكودا  
","172 josseph Tito St., ElSindbad Road، Cairo ‏
",30.162939,31.410942
ستريو سياره,"رحبة عابدين، Abdin, محافظة القاهرة‬ ‏
",30.064637,31.261597
"الشركة العربية الامريكية للسيارات - مركز خدمة جيب  
","CAIRO SUEZ RD.، محافظة القاهرة‬ ‏
",30.112167,31.434975
المتحدة الهندسية للسيارات - مركز خدمة تويوتا,"83، المعادي، محافظة القاهرة‬ ‏
",29.990029,31.294899
